time_s,raw_cart,raw_theta1,raw_theta2,cart_counts,theta1_counts,theta2_relative_counts,x_m,theta1_rad,theta2_rad,xdot_m_s,theta1dot_rad_s,theta2dot_rad_s,accel_m_s2,velocity_ref_m_s,voltage,left_limit,right_limit,warning
5.24e-05,4294963152,4082,4294967274,-4145,4082,-22,-0.0090483778826783729,-0,-0,0,0,0,0.18780474787545931,0.00093902373937729657,-0.0011033182235302165,0,0,0
0.0060730999999999997,4294963152,4082,4294967274,-4145,4082,-22,-0.0090483778826783729,-0,-0,0,0,0,0.18780474787545931,0.0018780474787545931,-0.00042722113117856289,0,0,0
0.011068700000000001,4294963152,4082,4294967274,-4145,4082,-22,-0.0090483778826783729,-0,-0,0,0,0,0.18780474787545931,0.0028170712181318897,0.00050241237080496056,0,0,0
0.01609,4294963152,4082,4294967274,-4145,4082,-22,-0.0090483778826783729,-0,-0,0,0,0,0.18780474787545931,0.0037560949575091863,0.0016855822824203544,0,0,0
0.021026599999999999,4294963152,4082,4294967274,-4145,4082,-22,-0.0090483778826783729,-0,-0,0,0,0,0.18780474787545931,0.0046951186968864824,0.0031222886036676185,0,0,0
0.026008099999999999,4294963152,4082,4294967275,-4145,4082,-21,-0.0090483778826783729,-0,-0.0015707963267948967,0,0,-0.14655903858403407,-6.1848725299655847,-0.02622924395294144,-0.0095259925405955966,0,0,0
0.031014099999999999,4294963152,4082,4294967275,-4145,4082,-21,-0.0090483778826783729,-0,-0.0015707963267948967,0,0,-0.078187501726343686,-3.3987016779046892,-0.043222752342464886,-0.024254967183175335,0,0,0
0.035976599999999997,4294963152,4082,4294967275,-4145,4082,-21,-0.0090483778826783729,-0,-0.0015707963267948967,0,0,-0.041712101043169435,-1.9123127085850491,-0.052784315885390135,-0.040227813909957222,0,0,0
0.040971199999999999,4294963152,4082,4294967275,-4145,4082,-21,-0.0090483778826783729,-0,-0.0015707963267948967,0,0,-0.022252909160919682,-1.119341894723842,-0.058381025359009346,-0.056998098462141204,0,0,0
0.045951400000000003,4294963152,4082,4294967275,-4145,4082,-21,-0.0090483778826783729,-0,-0.0015707963267948967,0,0,-0.011871662029482767,-0.69630140894606796,-0.061862532403739685,-0.07432765347920238,0,0,0
0.051949000000000002,4294963152,4082,4294967275,-4145,4082,-21,-0.0090483778826783729,-0,-0.0015707963267948967,0,0,-0.0063333903141874941,-0.47061434773423022,-0.064215604142410843,-0.092089419510614112,0,0,0
0.055948100000000001,4294963152,4082,4294967275,-4145,4082,-21,-0.0090483778826783729,-0,-0.0015707963267948967,0,0,-0.0033787883088507689,-0.35021298826436598,-0.065966669083732679,-0.11021561185265986,0,0,0
0.060931800000000001,4294963154,4082,4294967275,-4143,4082,-21,-0.0090925163113743639,-0,-0.0015707963267948967,-0.0041182205254411989,0,-0.0018025433250897338,-0.18441220060263405,-0.066888730086745854,-0.12658834072017508,0,0,0
0.066970600000000005,4294963160,4083,4294967274,-4137,4083,-22,-0.0092249315974623405,-0.00078539816339744833,-0.00078539816339744833,-0.014551683183133745,-0.073279519292017037,0.07231788389440591,3.6434452739886085,-0.048671503716802809,-0.1306435682392913,0,0,0
0.070947899999999994,4294963171,4086,4294967273,-4126,4086,-23,-0.0094676929552902963,-0.0031415926535897933,-0.0015707963267948967,-0.030413362573459612,-0.25893230873922296,-0.034698789461442385,0.41055217822180445,-0.046618742825693789,-0.13179442165673624,0,0,0
0.075945200000000004,4294963191,4090,4294967271,-4106,4090,-25,-0.0099090772422502169,-0.0062831853071795866,-0.0015707963267948969,-0.057407371997389531,-0.43125538027916843,-0.018511390952957011,2.7379535820423193,-0.03292897491548219,-0.1178621745244758,0,0,0
0.080943200000000007,4294963216,4095,4294967269,-4081,4095,-27,-0.010460807600950119,-0.010210176124166829,-0.0023561944901923457,-0.082103905869460481,-0.59646720605798664,-0.08315512591495125,1.6012760177534995,-0.024922594826714693,-0.096536696029983507,0,0,0
0.0858955,4294963239,4099,4294967267,-4058,4099,-29,-0.010968399530954027,-0.013351768777756621,-0.0023561944901923457,-0.091160992055997037,-0.61132622832638706,-0.044362269388807676,3.8925073374418049,-0.0054600581395056677,-0.068263911755256632,0,0,0
0.090915200000000002,4294963260,4103,4294967265,-4037,4103,-31,-0.011431853032261944,-0.016493361431346415,-0.0023561944901923457,-0.091874619151058656,-0.61925333975183638,-0.023666742412704292,5.2185223216917409,0.020632553468953038,-0.033061852181219813,0,0,0
0.095879500000000006,4294963274,4106,4294967264,-4023,4106,-32,-0.011740822033133888,-0.018849555921538759,-0.003141592653589792,-0.077841558868709443,-0.55020284000204867,-0.085905444524115304,2.2394171086618466,0.031829639012262267,-0.0039611042063846455,0,0,0
0.10192379999999999,4294963283,4107,4294967263,-4014,4107,-33,-0.011939444962265853,-0.019634954084936207,-0.0023561944901923475,-0.060059537012909427,-0.36680618211761362,0.027449987678513747,6.1297068139131454,0.062478173081827994,0.031440049717672287,0,0,0
0.1059084,4294963283,4106,4294967264,-4014,4106,-32,-0.011939444962265853,-0.018849555921538759,-0.003141592653589792,-0.032041047752832515,-0.12240721060632427,-0.058635277764932082,0.82177490284429355,0.066587047596049456,0.053765904807616442,0,0,0
0.1108555,4294963281,4105,4294967264,-4016,4105,-32,-0.01189530653356986,-0.018064157758141311,-0.002356194490192344,-0.01297529687677614,0.0079767301698624032,0.041998296886606765,4.1177052333842612,0.087175573762970762,0.081080739432703788,0,0,0
0.11684079999999999,4294963274,4103,4294967266,-4023,4103,-30,-0.011740822033133888,-0.016493361431346415,-0.0039269908169872417,0.0074916054769128644,0.1508145291355027,-0.12415344734892092,-4.24352263954954,0.065957960565223059,0.089363442507288948,0,0,0
0.1218471,4294963263,4100,4294967268,-4034,4100,-28,-0.011498060675305932,-0.014137166941154069,-0.0047123889803846897,0.026646895195012982,0.30029631313335409,-0.13951390492057261,-6.3588548171441159,0.034163686479502478,0.082222054669413389,0,0,0
0.12678349999999999,4294963249,4097,4294967269,-4048,4097,-27,-0.011189091674433988,-0.011780972450961723,-0.00392699081698724,0.043043344929181215,0.38004306473126048,-0.0011494875247248099,-1.5130069807323638,0.026598651575840661,0.073468920229202025,0,0,0
0.1318019,4294963236,4093,4294967272,-4061,4093,-24,-0.010902191887910039,-0.0086393797973719298,-0.005497787143782136,0.049731545335813254,0.495866526303961,-0.14717227648933245,-8.8453941074637505,-0.017628318961478096,0.046117026099022226,0,0,0
0.1367864,4294963224,4090,4294967273,-4073,4090,-23,-0.010637361315734086,-0.0062831853071795866,-0.0047123889803846897,0.051240510340861516,0.48437744442992747,-0.0052351375538091938,-3.1876933787472344,-0.033566785855214269,0.020078518384300567,0,0,0
0.1417564,4294963216,4088,4294967275,-4081,4088,-21,-0.010460807600950119,-0.0047123889803846897,-0.0062831853071795866,0.043809084150045266,0.40496863678054307,-0.14935192212421511,-9.2351820976067955,-0.079742696343248251,-0.020254469522387873,0,0,0
0.146731,4294963214,4087,4294967275,-4083,4087,-21,-0.010416669172254126,-0.0039269908169872417,-0.0054977871437821386,0.027489845201098519,0.2893254642798353,-0.0063979525428176365,-2.5368528896840905,-0.092426960791668705,-0.051977711730340284,0,0,0
0.15175469999999999,4294963215,4087,4294967276,-4082,4087,-20,-0.010438738386602121,-0.0039269908169872417,-0.0070685834705770355,0.012606394778003375,0.15435168964269652,-0.14997227007299335,-7.9776640629261557,-0.13231528110629948,-0.095607440799578475,0,0,0
0.1567394,4294963219,4087,4294967276,-4078,4087,-20,-0.010527015243994107,-0.0039269908169872417,-0.0070685834705770355,-0.0015110795652248489,0.082344788264168592,-0.08000842007784062,-4.5417879066069151,-0.15502422063933405,-0.13860245262375312,0,0,0
0.16169449999999999,4294963231,4089,4294967275,-4066,4089,-21,-0.010791845816170058,-0.0054977871437821377,-0.0070685834705770346,-0.025515466105386256,-0.1026290746816816,-0.042683539298542211,-1.6026567148274133,-0.16303750421347113,-0.17285500437905166,0,0,0
